timecode	yearsBP
0	21000
1	20900
2	20800
3	20700
4	20600
5	20500
6	20400
7	20300
8	20200
9	20100
10	20000
11	19900
12	19800
13	19700
14	19600
15	19500
16	19400
17	19300
18	19200
19	19100
20	19000
21	18900
22	18800
23	18700
24	18600
25	18500
26	18400
27	18300
28	18200
29	18100
30	18000
31	17900
32	17800
33	17700
34	17600
35	17500
36	17400
37	17300
38	17200
39	17100
40	17000
41	16900
42	16800
43	16700
44	16600
45	16500
46	16400
47	16300
48	16200
49	16100
50	16000
51	15900
52	15800
53	15700
54	15600
55	15500
56	15400
57	15300
58	15200
59	15100
60	15000
61	14900
62	14800
63	14700
64	14600
65	14500
66	14400
67	14300
68	14200
69	14100
70	14000
71	13900
72	13800
73	13700
74	13600
75	13500
76	13400
77	13300
78	13200
79	13100
80	13000
81	12900
82	12800
83	12700
84	12600
85	12500
86	12400
87	12300
88	12200
89	12100
90	12000
91	11900
92	11800
93	11700
94	11600
95	11500
96	11400
97	11300
98	11200
99	11100
100	11000
101	10900
102	10800
103	10700
104	10600
105	10500
106	10400
107	10300
108	10200
109	10100
110	10000
111	9900
112	9800
113	9700
114	9600
115	9500
116	9400
117	9300
118	9200
119	9100
120	9000
121	8900
122	8800
123	8700
124	8600
125	8500
126	8400
127	8300
128	8200
129	8100
130	8000
131	7900
132	7800
133	7700
134	7600
135	7500
136	7400
137	7300
138	7200
139	7100
140	7000
141	6900
142	6800
143	6700
144	6600
145	6500
146	6400
147	6300
148	6200
149	6100
150	6000
151	5900
152	5800
153	5700
154	5600
155	5500
156	5400
157	5300
158	5200
159	5100
160	5000
161	4900
162	4800
163	4700
164	4600
165	4500
166	4400
167	4300
168	4200
169	4100
170	4000
171	3900
172	3800
173	3700
174	3600
175	3500
176	3400
177	3300
178	3200
179	3100
180	3000
181	2900
182	2800
183	2700
184	2600
185	2500
186	2400
187	2300
188	2200
189	2100
190	2000
191	1900
192	1800
193	1700
194	1600
195	1500
196	1400
197	1300
198	1200
199	1100
200	1000
201	900
202	800
203	700
204	600
205	500
206	400
207	300
208	200
209	100
210	0
